Row Id.,S_CODE,S_CITY,E_CODE,E_CITY,VACATION_No,VACATION_Yes,SW_No,SW_Yes,SLOT_Controlled,SLOT_Free,GATE_Constrained,GATE_Free,COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,PAX,FARE
1,*,Dallas/Fort Worth   TX,*,Amarillo            TX,1,0,0,1,0,1,0,1,1,3,5291.991341,"$28,637.00","$21,112.00",3036732,205711,312,7864,$64.11
2,*,Atlanta             GA,*,Baltimore/Wash Intl MD,1,0,1,0,0,1,0,1,1.06,3,5419.160907,"$26,993.00","$29,838.00",3532657,7145897,576,8820,$174.47
3,*,Boston              MA,*,Baltimore/Wash Intl MD,1,0,1,0,0,1,0,1,1.06,3,9185.283234,"$30,124.00","$29,838.00",5787293,7145897,364,6452,$207.76
4,ORD,Chicago             IL,*,Baltimore/Wash Intl MD,1,0,0,1,1,0,0,1,1.06,3,2657.351987,"$29,260.00","$29,838.00",7830332,7145897,612,25144,$85.47
5,MDW,Chicago             IL,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.06,3,2657.351987,"$29,260.00","$29,838.00",7830332,7145897,612,25144,$85.47
6,*,Cleveland           OH,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.01,3,3408.105751,"$26,046.00","$29,838.00",2230955,7145897,309,13386,$56.76
7,*,Dallas/Fort Worth   TX,*,Baltimore/Wash Intl MD,1,0,1,0,0,1,0,1,1.28,3,6754.479432,"$28,637.00","$29,838.00",3036732,7145897,1220,4625,$228.00
8,*,Fort Lauderdale     FL,*,Baltimore/Wash Intl MD,0,1,0,1,0,1,0,1,1.15,3,5583.996941,"$26,752.00","$29,838.00",1440377,7145897,921,5512,$116.54
9,*,Houston             TX,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.33,3,4662.438028,"$27,211.00","$29,838.00",3770125,7145897,1249,7811,$172.63
10,*,Kansas City         MO,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.6,2,2616.998033,"$25,450.00","$29,838.00",1694803,7145897,964,4657,$114.76
11,*,Las Vegas           NV,*,Baltimore/Wash Intl MD,0,1,0,1,0,1,0,1,1.57,3,1772.5904,"$24,575.00","$29,838.00",1197234,7145897,2104,4489,$158.20
12,*,Los Angeles         CA,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.5,1,3932.291385,"$24,706.00","$29,838.00",9056076,7145897,2329,7349,$228.99
13,*,Nashville           TN,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.12,3,4471.62048,"$25,995.00","$29,838.00",1115048,7145897,587,5654,$79.17
14,*,New Orleans         LA,*,Baltimore/Wash Intl MD,1,0,0,1,0,1,0,1,1.29,3,4356.11849,"$22,038.00","$29,838.00",1308499,7145897,992,3525,$132.05
15,JFK,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,0,1,0,1,0,0,1,1,3,2626.895927,"$32,991.00","$29,838.00",8621121,7145897,181,7171,$117.23
16,LGA,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,0,1,0,1,0,0,1,1,3,2626.895927,"$32,991.00","$29,838.00",8621121,7145897,181,7171,$117.23
17,EWR,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,0,1,0,0,1,1,0,1,3,2626.895927,"$32,991.00","$29,838.00",8621121,7145897,181,7171,$117.23
